Data,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",Chuva
2022-01-01,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-01,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-01,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-01,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-01,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-01,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-01,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-01,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-01,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-01,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-01,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-01,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-01,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-01,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-01,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-01,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-01,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-01,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-01,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-01,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-01,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-01,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-01,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-01,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-02,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-02,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-02,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-02,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-02,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-02,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-02,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-02,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-02,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-02,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-02,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-02,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-02,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-02,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-02,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-02,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-02,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-02,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-02,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-02,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-02,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-02,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
2022-01-02,0.0,918.0,918.0,917.8,823.0,28.3,20.1,29.7,27.1,20.0,18.3,64.0,56.0,61.0,65.0,5.1,1.9,0
